value,botw_trend,totk_trend
1893,1935.66453,2410.479097
1894,1935.363184,2410.177751
1895,1935.062311,2409.876878
1896,1934.76191,2409.576477
1897,1934.461983,2409.27655
1898,1934.162529,2408.977096
1899,1933.863547,2408.678114
1900,1933.565039,2408.379606
1901,1933.267003,2408.08157
1902,1932.969441,2407.784008
1903,1932.672351,2407.486918
1904,1932.375735,2407.190302
1905,1932.079591,2406.894158
1906,1931.78392,2406.598487
1907,1931.488722,2406.303289
1908,1931.193997,2406.008564
1909,1930.899746,2405.714313
1910,1930.605967,2405.420534
1911,1930.312661,2405.127228
1912,1930.019827,2404.834394
1913,1929.727467,2404.542034
1914,1929.43558,2404.250147
1915,1929.144166,2403.958733
1916,1928.853224,2403.667791
1917,1928.562756,2403.377323
1918,1928.272761,2403.087328
1919,1927.983238,2402.797805
1920,1927.694189,2402.508756
1921,1927.405612,2402.220179
1922,1927.117508,2401.932075
1923,1926.829878,2401.644445
1924,1926.54272,2401.357287
1925,1926.256035,2401.070602
1926,1925.969823,2400.78439
1927,1925.684084,2400.498651
1928,1925.398818,2400.213385
1929,1925.114025,2399.928592
1930,1924.829705,2399.644272
1931,1924.545858,2399.360425
1932,1924.262484,2399.077051
1933,1923.979583,2398.79415
1934,1923.697154,2398.511721
1935,1923.415199,2398.229766
1936,1923.133717,2397.948284
1937,1922.852707,2397.667274
1938,1922.572171,2397.386738
1939,1922.292107,2397.106674
1940,1922.012516,2396.827083
1941,1921.733399,2396.547966
1942,1921.454754,2396.269321
1943,1921.176582,2395.991149
1944,1920.898883,2395.71345
1945,1920.621657,2395.436224
1946,1920.344904,2395.159471
1947,1920.068624,2394.883191
1948,1919.792817,2394.607384
1949,1919.517483,2394.33205
1950,1919.242622,2394.057189
1951,1918.968234,2393.782801
1952,1918.694318,2393.508885
1953,1918.420876,2393.235443
1954,1918.147906,2392.962473
1955,1917.87541,2392.689977
1956,1917.603386,2392.417953
1957,1917.331836,2392.146403
1958,1917.060758,2391.875325
1959,1916.790154,2391.604721
1960,1916.520022,2391.334589
1961,1916.250363,2391.06493
1962,1915.981177,2390.795744
1963,1915.712464,2390.527031
1964,1915.444224,2390.258791
1965,1915.176457,2389.991024
1966,1914.909163,2389.72373
1967,1914.642342,2389.456909
1968,1914.375994,2389.190561
1969,1914.110119,2388.924686
1970,1913.844716,2388.659283
1971,1913.579787,2388.394354
1972,1913.315331,2388.129898
1973,1913.051347,2387.865914
1974,1912.787837,2387.602404
1975,1912.524799,2387.339366
1976,1912.262234,2387.076801
1977,1912.000143,2386.81471
1978,1911.738524,2386.553091
1979,1911.477378,2386.291945
1980,1911.216705,2386.031272
1981,1910.956505,2385.771072
1982,1910.696778,2385.511345
1983,1910.437524,2385.252091
1984,1910.178743,2384.99331
1985,1909.920435,2384.735002
1986,1909.6626,2384.477167
1987,1909.405238,2384.219805
1988,1909.148348,2383.962915
1989,1908.891932,2383.706499
1990,1908.635989,2383.450556
1991,1908.380518,2383.195085
1992,1908.125521,2382.940088
1993,1907.870996,2382.685563
1994,1907.616945,2382.431512
1995,1907.363366,2382.177933
1996,1907.11026,2381.924827
1997,1906.857627,2381.672194
1998,1906.605468,2381.420035
1999,1906.353781,2381.168348
2000,1906.102567,2380.917134
2001,1905.851826,2380.666393
2002,1905.601558,2380.416125
2003,1905.351762,2380.166329
2004,1905.10244,2379.917007
2005,1904.853591,2379.668158
2006,1904.605215,2379.419782
2007,1904.357311,2379.171878
2008,1904.109881,2378.924448
2009,1903.862924,2378.677491
2010,1903.616439,2378.431006
2011,1903.370427,2378.184994
2012,1903.124889,2377.939456
2013,1902.879823,2377.69439
2014,1902.63523,2377.449797
2015,1902.391111,2377.205678
2016,1902.147464,2376.962031
2017,1901.90429,2376.718857
2018,1901.661589,2376.476156
2019,1901.419361,2376.233928
2020,1901.177606,2375.992173
2021,1900.936324,2375.750891
2022,1900.695515,2375.510082
2023,1900.455178,2375.269745
2024,1900.215315,2375.029882
2025,1899.975925,2374.790492
2026,1899.737007,2374.551574
2027,1899.498563,2374.31313
2028,1899.260591,2374.075158
2029,1899.023093,2373.83766
2030,1898.786067,2373.600634
2031,1898.549515,2373.364082
2032,1898.313435,2373.128002
2033,1898.077828,2372.892395
2034,1897.842694,2372.657261
2035,1897.608033,2372.4226
2036,1897.373845,2372.188412
2037,1897.14013,2371.954697
2038,1896.906888,2371.721455
2039,1896.674119,2371.488686
2040,1896.441823,2371.25639
2041,1896.21,2371.024567
2042,1895.97865,2370.793217
2043,1895.747772,2370.562339
2044,1895.517368,2370.331935
2045,1895.287436,2370.102003
2046,1895.057978,2369.872545
2047,1894.828992,2369.643559
2048,1894.60048,2369.415047
2049,1894.37244,2369.187007
2050,1894.144873,2368.95944
2051,1893.91778,2368.732347
2052,1893.691159,2368.505726
2053,1893.465011,2368.279578
2054,1893.239336,2368.053903
2055,1893.014134,2367.828701
2056,1892.789405,2367.603972
2057,1892.565149,2367.379716
2058,1892.341366,2367.155933
2059,1892.118056,2366.932623
2060,1891.895218,2366.709785
2061,1891.672854,2366.487421
2062,1891.450963,2366.26553
2063,1891.229544,2366.044111
2064,1891.008599,2365.823166
2065,1890.788126,2365.602693
2066,1890.568126,2365.382693
2067,1890.3486,2365.163167
2068,1890.129546,2364.944113
2069,1889.910965,2364.725532
2070,1889.692858,2364.507425
2071,1889.475223,2364.28979
2072,1889.258061,2364.072628
2073,1889.041372,2363.855939
2074,1888.825156,2363.639723
2075,1888.609413,2363.42398
2076,1888.394142,2363.208709
2077,1888.179345,2362.993912
2078,1887.965021,2362.779588
2079,1887.75117,2362.565737
2080,1887.537791,2362.352358
2081,1887.324886,2362.139453
2082,1887.112453,2361.92702
2083,1886.900494,2361.715061
2084,1886.689007,2361.503574
2085,1886.477994,2361.292561
2086,1886.267453,2361.08202
2087,1886.057385,2360.871952
2088,1885.84779,2360.662357
2089,1885.638668,2360.453235
2090,1885.43002,2360.244587
2091,1885.221844,2360.036411
2092,1885.01414,2359.828707
2093,1884.80691,2359.621477
2094,1884.600153,2359.41472
2095,1884.393869,2359.208436
2096,1884.188058,2359.002625
2097,1883.982719,2358.797286
2098,1883.777854,2358.592421
2099,1883.573462,2358.388029
2100,1883.369542,2358.184109
2101,1883.166096,2357.980663
2102,1882.963122,2357.777689
2103,1882.760621,2357.575188
2104,1882.558594,2357.373161
2105,1882.357039,2357.171606
2106,1882.155957,2356.970524
2107,1881.955348,2356.769915
2108,1881.755212,2356.569779
2109,1881.555549,2356.370116
2110,1881.356359,2356.170926
2111,1881.157642,2355.972209
2112,1880.959398,2355.773965
2113,1880.761627,2355.576194
2114,1880.564329,2355.378896
2115,1880.367503,2355.18207
2116,1880.171151,2354.985718
2117,1879.975272,2354.789839
2118,1879.779865,2354.594432
2119,1879.584932,2354.399499
2120,1879.390471,2354.205038
2121,1879.196483,2354.01105
2122,1879.002969,2353.817536
2123,1878.809927,2353.624494
2124,1878.617358,2353.431925
2125,1878.425262,2353.239829
2126,1878.233639,2353.048206
2127,1878.042489,2352.857056
2128,1877.851812,2352.666379
2129,1877.661608,2352.476175
2130,1877.471877,2352.286444
2131,1877.282619,2352.097186
2132,1877.093834,2351.908401
2133,1876.905521,2351.720088
2134,1876.717682,2351.532249
2135,1876.530316,2351.344883
2136,1876.343422,2351.157989
2137,1876.157002,2350.971569
2138,1875.971054,2350.785621
2139,1875.78558,2350.600147
2140,1875.600578,2350.415145
2141,1875.416049,2350.230616
2142,1875.231993,2350.04656
2143,1875.04841,2349.862977
2144,1874.865301,2349.679868
2145,1874.682664,2349.497231
2146,1874.5005,2349.315067
2147,1874.318808,2349.133375
2148,1874.13759,2348.952157
2149,1873.956845,2348.771412
2150,1873.776573,2348.59114
2151,1873.596774,2348.411341
2152,1873.417447,2348.232014
2153,1873.238594,2348.053161
2154,1873.060213,2347.87478
2155,1872.882306,2347.696873
2156,1872.704871,2347.519438
2157,1872.52791,2347.342477
2158,1872.351421,2347.165988
2159,1872.175405,2346.989972
2160,1871.999863,2346.81443
2161,1871.824793,2346.63936
2162,1871.650196,2346.464763
2163,1871.476072,2346.290639
2164,1871.302421,2346.116988
